type,breed,color,name,zip,exp_year,reg_date,date,reg_year
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,BRANDON,15017,2012,2011-11-09 11:11:25,2011-11-09,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,BIRDIE,15237,2012,2011-11-10 14:52:11,2011-11-10,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,PENNI,15065,2012,2011-11-14 11:19:49,2011-11-14,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,SPOTTED,JOSEPH,15210,2012,2011-11-14 11:19:49,2011-11-14,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK/GREY,ESCADA,15143,2012,2011-11-14 11:19:49,2011-11-14,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,AKEA,15108,2012,2011-11-14 11:19:49,2011-11-14,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,TRAIL,15238,2012,2011-11-14 11:19:49,2011-11-14,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,MULTI,RALEIGH,15221,2012,2011-11-14 15:46:07,2011-11-14,2011
Dog Individual Female,ENG SPRINGER SPANIE,WHITE/BROWN,SMOKEY,15102,2012,2011-11-14 15:46:16,2011-11-14,2011
Dog Individual Female,ENG SPRINGER SPANIE,WHITE/BLACK,ATALANTA,15102,2012,2011-11-14 16:06:53,2011-11-14,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,WINSTON,15101,2012,2011-11-14 16:07:34,2011-11-14,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,MAX,15143,2012,2011-11-15 09:22:14,2011-11-15,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,LULU,15140,2012,2011-11-15 09:22:14,2011-11-15,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,LEROY,15229,2012,2011-11-15 09:22:14,2011-11-15,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,MILLY,15215,2012,2011-11-15 09:22:14,2011-11-15,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,MAX,15101,2012,2011-11-15 09:22:14,2011-11-15,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,MACEY,15071,2012,2011-11-15 09:22:14,2011-11-15,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,MAGGIE,15241,2012,2011-11-15 09:22:14,2011-11-15,2011
Dog Senior Citizen or Disability Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,MINDY SUE,15025,2012,2011-11-15 09:22:55,2011-11-15,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,SAMANTHA,15234,2012,2011-11-15 14:44:40,2011-11-15,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,MERCEDES,15102,2012,2011-11-15 14:46:26,2011-11-15,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,PIPPIN,15241,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BROWN,SAGE,15241,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,HARLEY,15122,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/BLACK,SYDNEY,15241,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,SPOTTED,MISSY,15241,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,SOPHIE,15106,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/LIVER,DI,15106,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Neutered Male,ENG SPRINGER SPANIE,WHITE/BLACK,SNOOPY,15241,2012,2011-11-16 10:21:37,2011-11-16,2011
Dog Individual Spayed Female,ENG SPRINGER SPANIE,WHITE/RED,ANNIE,15241,2012,2011-11-16 10:21:37,2011-11-16,2011
